"","species","taxon","max_size","max_length","TL","CA_mg","EPA_g","DHA_g","FE_mg","ZN_mg","HG_mcg","FAT","PROTCNT_g","lwA","lwB","Habitat","Subgroup","Abs_lat","StockCode","DietTroph","DietSeTroph","FoodTroph","FoodSeTroph","SpecCode"
"28","Amblypharyngodon mola","Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,"freshwater","Finfish",24.4333,NA,NA,NA,NA,NA,24301
"29","Amblypharyngodon mola","Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,"freshwater","Finfish",24.4333,NA,NA,NA,NA,NA,24301
"30","Amblypharyngodon mola","Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,"freshwater","Finfish",24.4333,NA,NA,NA,NA,NA,24301
"31","Amblypharyngodon mola","Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,"freshwater","Finfish",24.4333,NA,NA,NA,NA,NA,24301
"32","Anabas testudineus","Miscellaneous freshwater fishes",0.304860446034431,25,2.7,NA,NA,NA,NA,NA,NA,NA,NA,0.02692,2.9,"freshwater","Finfish",22.816667,NA,2.98,0.37,2.76,0.32,495
"33","Anabas testudineus","Miscellaneous freshwater fishes",0.304860446034431,25,2.7,NA,0.011866184,0.096490812,NA,NA,NA,0.99,NA,0.02692,2.9,"freshwater","Finfish",15.116386,NA,2.98,0.37,2.76,0.32,495
"34","Anabas testudineus","Miscellaneous freshwater fishes",0.304860446034431,25,2.7,NA,0.008665437,0.073461047,NA,NA,NA,0.99,NA,0.02692,2.9,"freshwater","Finfish",15.190255,NA,2.98,0.37,2.76,0.32,495
"35","Anabas testudineus","Miscellaneous freshwater fishes",0.304860446034431,25,2.7,NA,0.004215618,0.039345768,NA,NA,NA,0.99,NA,0.02692,2.9,"freshwater","Finfish",14.761942,NA,2.98,0.37,2.76,0.32,495
"36","Anabas testudineus","Miscellaneous freshwater fishes",0.304860446034431,25,2.7,NA,NA,NA,NA,NA,NA,NA,NA,0.02692,2.9,"freshwater","Finfish",24.4333,NA,2.98,0.37,2.76,0.32,495
"37","Anarhichas lupus","Miscellaneous demersal fishes",35.2649545901455,150,3.2,NA,0.169891253,0.179600693,NA,NA,NA,2.175,NA,0.00347,3.22,"marine","Finfish",63.968654,NA,3.55,NA,3.73,0.53,2501
"38","Anarhichas lupus","Miscellaneous demersal fishes",35.2649545901455,150,3.2,NA,0.181546446,0.10213356,NA,NA,NA,1.3,NA,0.00347,3.22,"marine","Finfish",63.968654,NA,3.55,NA,3.73,0.53,2501
"39","Anarhichas lupus","Miscellaneous demersal fishes",35.2649545901455,150,3.2,NA,0.131686107,0.163997287,NA,NA,NA,1.5,NA,0.00347,3.22,"marine","Finfish",63.968654,NA,3.55,NA,3.73,0.53,2501
"40","Anarhichas lupus","Miscellaneous demersal fishes",35.2649545901455,150,3.2,6.8,NA,NA,0.15,0.78,26,NA,48,0.00347,3.22,"marine","Finfish",63.968654,NA,3.55,NA,3.73,0.53,2501
"41","Anchoa hepsetus","Herrings, sardines, anchovies",0.0292866361782307,12,3.33,NA,NA,NA,NA,NA,NA,NA,33,0.002,3.859999895,"marine","Finfish",19.173773,NA,3.34,NA,3.25,0.41,1133
"42","Anguilla anguilla","River eels",0.228682834415693,50,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0.00087,3.19,"freshwater","Finfish",39.019184,NA,3.55,0.3,3.62,0.69,35
"43","Anguilla bicolor","River eels",2.96359014721014,120,3.6,NA,NA,NA,NA,NA,NA,NA,NA,0.00076,3.17,"freshwater","Finfish",12.265754,NA,NA,NA,3.55,0.5,1274
"44","Anguilla japonica","River eels",5.90511762089249,150,3.6,NA,NA,NA,NA,NA,NA,NA,NA,0.00071,3.18,"freshwater","Finfish",31.596553,NA,NA,NA,3.55,0.51,295
"45","Anguilla rostrata","River eels",8.28643554968322,152,3.7,NA,0.0856776,0.1595376,NA,NA,NA,NA,NA,0.00166,3.069999933,"freshwater","Finfish",35.131275,NA,3.83,0.216,3.62,0.54,296
"46","Anoplopoma fimbria","Miscellaneous demersal fishes",10.3723719088217,98,3.83,NA,0.35,0.42,NA,NA,NA,5.7,NA,0.0058,3.140000105,"marine","Finfish",45.9053,NA,3.84,0.205,4.11,0.88,512
"47","Aphanopus carbo","Miscellaneous demersal fishes",1.6809651826542,110,4.5,14,0.0479,0.1395,0.1,0.5,NA,NA,31,0.000201,3.391000032,"marine","Finfish",38.444217,NA,NA,NA,4.48,0.77,646
"48","Aphanopus carbo","Miscellaneous demersal fishes",1.6809651826542,110,4.5,NA,NA,NA,NA,NA,NA,NA,45,0.000201,3.391000032,"marine","Finfish",38.444217,NA,NA,NA,4.48,0.77,646
"49","Aphanopus carbo","Miscellaneous demersal fishes",1.6809651826542,110,4.5,11.9,0.0424763,0.12370675,NA,0.27,NA,NA,65,0.000201,3.391000032,"marine","Finfish",38.444217,NA,NA,NA,4.48,0.77,646
"50","Ariomma bondi","Miscellaneous demersal fishes",0.276896062828729,30,3.5,NA,0.23866826,1.3073548,NA,NA,NA,8.3,214,0.01175,2.96,"marine","Finfish",25.304304,NA,NA,NA,3.5,0.5,961
"51","Ariomma bondi","Miscellaneous demersal fishes",0.276896062828729,30,3.5,NA,0.16785216,1.427909,NA,NA,NA,6.4,246,0.01175,2.96,"marine","Finfish",25.304304,NA,NA,NA,3.5,0.5,961
"52","Arius arius","Miscellaneous coastal fishes",3.45304877899306,70,3.7,NA,0.03700088,0.11402312,NA,NA,NA,4.2,NA,0.01096,2.98,"marine","Finfish",16.041655,NA,NA,NA,3.5,0.37,1285
"53","Arius arius","Miscellaneous coastal fishes",3.45304877899306,70,3.7,NA,0.03249876,0.18918921,NA,NA,NA,4.3,NA,0.01096,2.98,"marine","Finfish",16.041655,NA,NA,NA,3.5,0.37,1285
"54","Arius arius","Miscellaneous coastal fishes",3.45304877899306,70,3.7,NA,0.03760532,0.27594174,NA,NA,NA,5.6,NA,0.01096,2.98,"marine","Finfish",16.041655,NA,NA,NA,3.5,0.37,1285
"55","Arius arius","Miscellaneous coastal fishes",3.45304877899306,70,3.7,NA,0.03319092,0.33032868,NA,NA,NA,5.8,NA,0.01096,2.98,"marine","Finfish",16.041655,NA,NA,NA,3.5,0.37,1285
"56","Arius arius","Miscellaneous coastal fishes",3.45304877899306,70,3.7,NA,0.03548732,0.48479288,NA,NA,NA,6.6,NA,0.01096,2.98,"marine","Finfish",16.041655,NA,NA,NA,3.5,0.37,1285
"57","Arnoglossus laterna","Flounders, halibuts, soles",0.129213872582273,25,3.6,NA,NA,NA,NA,NA,NA,NA,NA,0.00562,3.12,"marine","Finfish",39.019184,NA,3.59,0.26,3.49000000953674,0.4666,41
"58","Arripis trutta","Miscellaneous coastal fishes",0.612965431755725,75,4.07,NA,NA,NA,NA,NA,NA,NA,224,0.0033,2.809999943,"marine","Finfish",40.900557,NA,4.07,0.62,3.7,0.58,5048
"59","Chelidonichthys cuculus","Miscellaneous demersal fishes",1.28510543068294,50,3.9,NA,0.018991364,0.151529686,NA,NA,NA,0.87,NA,0.00813,3.06,"marine","Finfish",37.370157,NA,3.81,0.103,3.6,0.73,44
"60","Leuciscus aspius","Carps, barbels and other cyprinids",NA,120,4.5,70,NA,NA,0.9,0.6,69,NA,220,NA,NA,"freshwater","Finfish",41.53,NA,NA,NA,4.46999979019165,0.8,4783
"61","Leuciscus aspius","Carps, barbels and other cyprinids",NA,120,4.5,70,NA,NA,1,0.7,65,NA,257,NA,NA,"freshwater","Finfish",41.53,NA,NA,NA,4.46999979019165,0.8,4783
"62","Atheresthes stomias","Flounders, halibuts, soles",2.68945355778023,69,4.26,NA,0.393730288,0.237639134,NA,NA,NA,NA,NA,0.01981,2.791300058,"marine","Finfish",57.79,NA,4.17,0.272,4.01000022888184,0.68,517
"63","Atherina boyeri","Miscellaneous pelagic fishes",0.0642798630603476,20,3.12,NA,0.34639424,0.47727936,NA,NA,NA,6.2,154,0.0075,3.023000002,"marine","Finfish",37.266667,NA,NA,NA,3.22,0.36,1696
"64","Atherina hepsetus","Miscellaneous pelagic fishes",0.0550578985754269,20,3.2,NA,0.200510714,0.243160783,NA,NA,NA,6.09,142,0.00575,3.06,"marine","Finfish",37.266667,NA,NA,NA,3.24,0.33,1697
"65","Atherina hepsetus","Miscellaneous pelagic fishes",0.0550578985754269,20,3.2,NA,0.16,0.32,NA,NA,NA,6.09,142,0.00575,3.06,"marine","Finfish",37.509726,NA,NA,NA,3.24,0.33,1697
"66","Atherina hepsetus","Miscellaneous pelagic fishes",0.0550578985754269,20,3.2,NA,0.146054679,0.234779484,NA,NA,NA,5.03,97,0.00575,3.06,"marine","Finfish",34.7,NA,NA,NA,3.24,0.33,1697
"67","Auxis rochei","Tunas, bonitos, billfishes",2.39031488782063,50,4.1,NA,1.5807742,3.6417836,NA,NA,NA,NA,NA,0.00464,3.361999989,"marine","Finfish",36.204824,NA,NA,NA,4.27,0.67,93
"68","Auxis rochei","Tunas, bonitos, billfishes",2.39031488782063,50,4.1,NA,0.325155,0.8584092,NA,NA,NA,NA,NA,0.00464,3.361999989,"marine","Finfish",36.204824,NA,NA,NA,4.27,0.67,93
"69","Auxis thazard","Tunas, bonitos, billfishes",1.91041745119952,54,4.34,NA,0.5324,2.0086,NA,NA,NA,6.05,NA,0.00955,3.06,"marine","Finfish",23.372169,NA,4.37,0.38,4.3600001335144,0.7317,94
"70","Auxis thazard","Tunas, bonitos, billfishes",4.7110115746824,65,4.3,NA,1.3707943,3.7308216,NA,NA,NA,NA,NA,0.00997,3.130000114,"marine","Finfish",36.204824,NA,4.37,0.38,4.3600001335144,0.7317,94
"71","Auxis thazard","Tunas, bonitos, billfishes",4.7110115746824,65,4.3,NA,0.4661453,1.3430523,NA,NA,NA,NA,NA,0.00997,3.130000114,"marine","Finfish",36.204824,NA,4.37,0.38,4.3600001335144,0.7317,94
"72","Bagrus docmak","Miscellaneous freshwater fishes",20.5330077778066,127,4.1,NA,0.38111275,0.659837,NA,NA,NA,NA,NA,0.00955,3.01,"freshwater","Finfish",0.033333,NA,NA,NA,4.08,0.95,6519
"73","Bagrus docmak","Miscellaneous freshwater fishes",20.5330077778066,127,4.1,NA,0.013,0.06384,NA,NA,NA,NA,NA,0.00955,3.01,"freshwater","Finfish",0.755775,NA,NA,NA,4.08,0.95,6519
"74","Bagrus docmak","Miscellaneous freshwater fishes",20.5330077778066,127,4.1,NA,0.01008,0.04712,NA,NA,NA,NA,NA,0.00955,3.01,"freshwater","Finfish",1.504705,NA,NA,NA,4.08,0.95,6519
"75","Balistes vetula","Miscellaneous coastal fishes",3.0894284646924,60,3.6,NA,0.015765698,0.057926456,NA,NA,NA,0.53,NA,0.01905,2.93,"marine","Finfish",37.370157,NA,3.82,0.132,3.33999991416931,0.451,19
"76","Balistes vetula","Miscellaneous coastal fishes",3.185967948877,53,3.44,NA,NA,NA,NA,NA,NA,NA,69,0.021400001,3,"marine","Finfish",19.173773,NA,3.82,0.132,3.33999991416931,0.451,19
"77","Barbonymus gonionotus","Carps, barbels and other cyprinids",0.694617055170104,40.5,2.4,NA,NA,NA,NA,NA,NA,NA,99,0.01514,2.9,"freshwater","Finfish",15.484682,NA,NA,NA,2.35999989509582,0.132,286
"78","Belone belone","Miscellaneous pelagic fishes",0.862033369884854,89,4.21,NA,0.490163256,2.161174356,NA,NA,NA,13.42,182,0.00055,3.177999973,"marine","Finfish",42.163403,NA,4.16,0.366,4.5,0.8,47
"79","Boops boops","Miscellaneous coastal fishes",0.2619,30,3,NA,NA,NA,NA,NA,NA,NA,68,0.0097,3,"marine","Finfish",39.019184,NA,2.79,0.041,3.11,0.23,203
"80","Boops boops","Miscellaneous coastal fishes",0.2619,30,3,NA,0.165583808,0.60833344,NA,NA,NA,3.64,NA,0.0097,3,"marine","Finfish",38.963745,NA,2.79,0.041,3.11,0.23,203
"81","Boops boops","Miscellaneous coastal fishes",0.2619,30,3,NA,NA,NA,NA,NA,NA,NA,180,0.0097,3,"marine","Finfish",39.019184,NA,2.79,0.041,3.11,0.23,203
"82","Boops boops","Miscellaneous coastal fishes",0.2619,30,3,NA,0.0569166,0.1138332,NA,NA,NA,NA,NA,0.0097,3,"marine","Finfish",39.019184,NA,2.79,0.041,3.11,0.23,203
"83","Boops boops","Miscellaneous coastal fishes",0.2619,30,3,NA,NA,NA,NA,NA,NA,NA,101,0.0097,3,"marine","Finfish",39.019184,NA,2.79,0.041,3.11,0.23,203
"84","Bothus podas","Flounders, halibuts, soles",0.896802127617942,45,3.4,NA,0.025146645,0.08477108,NA,NA,NA,0.47,NA,0.00912,3.02,"marine","Finfish",37.370157,NA,3.37,0.42,3.36999988555908,0.4725,207
"85","Brama japonica","Miscellaneous pelagic fishes",3.37881718937371,61,4.4,8.8,NA,NA,0.29,0.3635,15,NA,NA,0.01905,2.94,"marine","Finfish",57,NA,4.4,0.32,3.84,0.59,3555
"86","Brevoortia aurea","Herrings, sardines, anchovies",0.153280503842738,26,2.75,NA,1.11824,2.38108,NA,NA,NA,9.64,NA,0.00741,3.05,"marine","Finfish",23.372169,NA,NA,NA,2.75,0.31,1587
"87","Brevoortia patronus","Herrings, sardines, anchovies",0.153280503842738,26,2.8,NA,1.2169426,1.5180418,NA,NA,NA,13.6,153,0.00741,3.05,"marine","Finfish",34.941407,NA,NA,NA,2.19,0.07,1589
"88","Brosme brosme","Cods, hakes, haddocks",14.7147707445022,120,4,NA,NA,NA,NA,NA,NA,NA,NA,0.00457,3.13,"marine","Finfish",60.529651,NA,3.9,0.254,4.08,0.69,51
"89","Brosme brosme","Cods, hakes, haddocks",14.7147707445022,120,4,NA,NA,NA,NA,NA,NA,NA,NA,0.00457,3.13,"marine","Finfish",60.529651,NA,3.9,0.254,4.08,0.69,51
"90","Caranx crysos","Miscellaneous pelagic fishes",4.95914415189254,70,4.4,NA,0.34804382,1.319759711,NA,NA,NA,6.17,NA,0.01788,2.95,"marine","Finfish",37.370157,NA,4.13,0.375,3.63,0.45,1933
"91","Caranx crysos","Miscellaneous pelagic fishes",4.95914415189254,70,4.4,NA,1.222,3.7036,NA,NA,NA,18.8,NA,0.01788,2.95,"marine","Finfish",23.372169,NA,4.13,0.375,3.63,0.45,1933
"92","Carassius carassius","Carps, barbels and other cyprinids",5.89769217152976,64,3.1,59,NA,NA,0.9,0.6,69,NA,101,0.01905,3.04,"freshwater","Finfish",41.53,NA,NA,NA,3.11,0.24,270
"93","Carassius carassius","Carps, barbels and other cyprinids",5.89769217152976,64,3.1,NA,0.07539,0.05026,NA,NA,NA,1.5,NA,0.01905,3.04,"freshwater","Finfish",41.53,NA,NA,NA,3.11,0.24,270
"94","Carassius carassius","Carps, barbels and other cyprinids",5.89769217152976,64,3.1,57,NA,NA,0.8,0.5,69,NA,101,0.01905,3.04,"freshwater","Finfish",41.53,NA,NA,NA,3.11,0.24,270
"95","Carcharhinus limbatus","Sharks, rays, chimaeras",74.8229366587572,226,4.24,NA,0.01,0.0577,NA,NA,NA,0.4598,270,0.00614,3.00999999,"marine","Finfish",25.304304,NA,4.37,0.436,4.46,0.77,874
"96","Catostomus commersonii","Carps, barbels and other cyprinids",3.31616908651045,65,2.8,NA,NA,NA,NA,NA,NA,NA,35,0.01259,2.99,"freshwater","Finfish",42.740759,NA,2.82,0.206,2.46,0.16,2965
"97","Centrophorus squamosus","Sharks, rays, chimaeras",27.299243299229,164,4.22,NA,0.019594817,0.309691789,NA,NA,NA,0.99,180,0.00288,3.15,"marine","Finfish",57.596278,NA,4.47,0.311,4.4,0.69,653
"98","Centroscyllium fabricii","Sharks, rays, chimaeras",3.15853744605779,82,3.9,NA,0.02412773,0.19725567,NA,NA,NA,0.7,69,9e-04,3.420000076,"marine","Finfish",57.596278,NA,3.84,0.268,4.13,0.61,656
"99","Centroscymnus coelolepis","Sharks, rays, chimaeras",13.1981696413185,120,4.2,NA,0.0223005,0.246420525,NA,NA,NA,0.95,214,0.0043,3.119999886,"marine","Finfish",57.596278,NA,4.48,0.134,4.19,0.57,662
"100","Chaenocephalus aceratus","Miscellaneous demersal fishes",1.55207706874942,59,3.47,NA,0.4896,0.75276,NA,NA,NA,3.06,NA,5e-04,3.665999889,"marine","Finfish",62,NA,3.4,0.16,3.96,0.65,473
"101","Chaenocephalus aceratus","Miscellaneous demersal fishes",1.55207706874942,59,3.47,NA,NA,NA,NA,NA,NA,NA,75,5e-04,3.665999889,"marine","Finfish",82.862752,NA,3.4,0.16,3.96,0.65,473
"102","Champsocephalus gunnari","Miscellaneous demersal fishes",1.4353836025669,54,3.23,NA,NA,NA,NA,NA,NA,NA,68,0.0017,3.421000004,"marine","Finfish",82.862752,NA,3.23,0.172,3.49,0.53,474
"103","Chanda nama","Miscellaneous coastal fishes",0.0266525486070039,11,3.6,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,"marine","Finfish",24.4333,NA,NA,NA,3.59,0.54,10132
"104","Channa marulius","Miscellaneous freshwater fishes",38.8129391369534,183,4.5,1306.45,NA,NA,1.35,1.321593,NA,NA,NA,0.00912,2.93,"freshwater","Finfish",12.265754,NA,NA,NA,4.5,0.8,5144
"105","Channa micropeltes","Miscellaneous freshwater fishes",NA,130,3.9,1085.84,NA,NA,1.23,1.440597,NA,NA,NA,NA,NA,"freshwater","Finfish",12.265754,NA,NA,NA,3.85,0.55,344
"106","Channa punctata","Miscellaneous freshwater fishes",0.281575089352953,31,3.8,NA,NA,NA,NA,NA,NA,NA,NA,0.01202,2.93,"freshwater","Finfish",22.816667,NA,NA,NA,3.84,0.7,5147
"107","Channa punctata","Miscellaneous freshwater fishes",0.281575089352953,31,3.8,NA,NA,NA,NA,NA,NA,NA,NA,0.01202,2.93,"freshwater","Finfish",24.4333,NA,NA,NA,3.84,0.7,5147
"108","Channa punctata","Miscellaneous freshwater fishes",0.281575089352953,31,3.8,NA,NA,NA,NA,NA,NA,NA,NA,0.01202,2.93,"freshwater","Finfish",24.4333,NA,NA,NA,3.84,0.7,5147
"109","Channa punctata","Miscellaneous freshwater fishes",0.281575089352953,31,3.8,NA,NA,NA,NA,NA,NA,NA,NA,0.01202,2.93,"freshwater","Finfish",24.4333,NA,NA,NA,3.84,0.7,5147
"110","Channa striata","Miscellaneous freshwater fishes",7.58246744127154,100,3.7,71,NA,0.022882,0.3,0.7,NA,NA,122,0.01096,2.92,"freshwater","Finfish",14.903036,NA,NA,NA,3.36,0.45,343
"111","Channa striata","Miscellaneous freshwater fishes",7.58246744127154,100,3.7,NA,NA,NA,NA,NA,NA,NA,176,0.01096,2.92,"freshwater","Finfish",15.484682,NA,NA,NA,3.36,0.45,343
"112","Channa striata","Miscellaneous freshwater fishes",7.58246744127154,100,3.7,NA,0.004762087,0.102033569,NA,NA,NA,0.99,NA,0.01096,2.92,"freshwater","Finfish",15.116386,NA,NA,NA,3.36,0.45,343
"113","Channa striata","Miscellaneous freshwater fishes",7.58246744127154,100,3.7,NA,0.00624536,0.105780785,NA,NA,NA,0.99,NA,0.01096,2.92,"freshwater","Finfish",15.190255,NA,NA,NA,3.36,0.45,343
"114","Channa striata","Miscellaneous freshwater fishes",7.58246744127154,100,3.7,NA,0.005855025,0.106093053,NA,NA,NA,0.99,NA,0.01096,2.92,"freshwater","Finfish",15.072255,NA,NA,NA,3.36,0.45,343
"115","Charax gibbosus","Miscellaneous freshwater fishes",NA,56,2,NA,0.003706289,0.03488272,NA,NA,NA,2.49,NA,NA,NA,"freshwater","Finfish",15.601411,NA,NA,NA,3.46,0.64,12346
"116","Chela cachius","Carps, barbels and other cyprinids",0.00232049053415705,6,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.01,3.04,"freshwater","Finfish",24.4333,NA,NA,NA,NA,NA,13220
"117","Chelidonichthys lucerna","Miscellaneous demersal fishes",3.63015197424552,75,3.7,NA,NA,NA,NA,NA,NA,NA,138,0.00724,3.04,"marine","Finfish",39.019184,NA,3.98,0.047,3.58,0.5,1366
"118","Chelidonichthys lucerna","Miscellaneous demersal fishes",3.63015197424552,75,3.7,NA,0.007016698,0.023552308,NA,NA,NA,0.26,156,0.00724,3.04,"marine","Finfish",39.53794,NA,3.98,0.047,3.58,0.5,1366
"119","Chelidonichthys lucerna","Miscellaneous demersal fishes",3.63015197424552,75,3.7,NA,0.008749,0.02740456,NA,NA,NA,0.4,178,0.00724,3.04,"marine","Finfish",39.53794,NA,3.98,0.047,3.58,0.5,1366
"120","Chelidonichthys lucerna","Miscellaneous demersal fishes",3.63015197424552,75,3.7,NA,0.094753208,0.200428976,NA,NA,NA,3.08,135,0.00724,3.04,"marine","Finfish",39.53794,NA,3.98,0.047,3.58,0.5,1366
"121","Chelon labrosus","Miscellaneous coastal fishes",4.9446688,92,2.59,NA,0.098861323,0.083924529,NA,NA,NA,1.51,NA,0.00635,3,"marine","Finfish",37.370157,NA,NA,NA,2.59,0.32,2499
"122","Chirocentrus dorab","Herrings, sardines, anchovies",4.79797238835938,100,4.5,NA,NA,NA,NA,NA,NA,NA,215,0.00509,2.987169981,"marine","Finfish",3.144341,NA,NA,NA,4.4,0.75,6358
"123","Chondrostoma nasus","Carps, barbels and other cyprinids",1.65042812554769,50,2,57,NA,NA,1,0.5,23,NA,101,0.00794,3.13,"freshwater","Finfish",41.53,NA,NA,NA,2,0,4878
"124","Chondrostoma nasus","Carps, barbels and other cyprinids",1.65042812554769,50,2,53,NA,NA,0.9,0.5,54,NA,101,0.00794,3.13,"freshwater","Finfish",41.53,NA,NA,NA,2,0,4878
"125","Chondrostoma nasus","Carps, barbels and other cyprinids",1.65042812554769,50,2,NA,0.064194,0.096291,NA,NA,NA,1.3,NA,0.00794,3.13,"freshwater","Finfish",41.53,NA,NA,NA,2,0,4878
"126","Clarias batrachus","Miscellaneous freshwater fishes",0.680000423743103,47,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,2.95,"freshwater","Finfish",22.816667,NA,NA,NA,3.42,0.5,3054
"127","Clarias batrachus","Miscellaneous freshwater fishes",0.680000423743103,47,3.4,299,0.05312,0.03984,0.6,0.9,NA,NA,138,0.00794,2.95,"freshwater","Finfish",14.903036,NA,NA,NA,3.42,0.5,3054
"128","Clarias batrachus","Miscellaneous freshwater fishes",0.680000423743103,47,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,2.95,"freshwater","Finfish",24.4333,NA,NA,NA,3.42,0.5,3054
"129","Clarias gariepinus","Miscellaneous freshwater fishes",33.99796,170,3.2,NA,0.01536,0.0504,NA,NA,NA,NA,NA,0.00692,3,"freshwater","Finfish",1.504705,NA,3.76,0.379,3.5,0.7,1934
"130","Clarias gariepinus","Miscellaneous freshwater fishes",33.99796,170,3.2,NA,0.0256,0.06942,NA,NA,NA,NA,NA,0.00692,3,"freshwater","Finfish",1.433393,NA,3.76,0.379,3.5,0.7,1934
"131","Clarias gariepinus","Miscellaneous freshwater fishes",33.99796,170,3.2,NA,0.20437599,0.5764451,NA,NA,NA,NA,NA,0.00692,3,"freshwater","Finfish",0.033333,NA,3.76,0.379,3.5,0.7,1934
"132","Clarias gariepinus","Miscellaneous freshwater fishes",33.99796,170,3.2,NA,0.05989053,0.191649696,NA,NA,NA,3.21,NA,0.00692,3,"freshwater","Finfish",37,NA,3.76,0.379,3.5,0.7,1934
"133","Clarias gariepinus","Miscellaneous freshwater fishes",33.99796,170,3.2,NA,NA,NA,NA,NA,NA,NA,NA,0.00692,3,"freshwater","Finfish",7.031297,NA,3.76,0.379,3.5,0.7,1934
"134","Clarias gariepinus","Miscellaneous freshwater fishes",33.99796,170,3.2,NA,NA,NA,NA,NA,NA,NA,NA,0.00692,3,"freshwater","Finfish",7.031297,NA,3.76,0.379,3.5,0.7,1934
"135","Clarias gariepinus","Miscellaneous freshwater fishes",33.99796,170,3.2,NA,NA,NA,NA,NA,NA,NA,NA,0.00692,3,"freshwater","Finfish",7.031297,NA,3.76,0.379,3.5,0.7,1934
"136","Clarias gariepinus","Miscellaneous freshwater fishes",33.99796,170,3.2,NA,NA,NA,NA,NA,NA,NA,NA,0.00692,3,"freshwater","Finfish",7.031297,NA,3.76,0.379,3.5,0.7,1934
"137","Clarias gariepinus","Miscellaneous freshwater fishes",33.99796,170,3.2,NA,NA,NA,NA,NA,NA,NA,NA,0.00692,3,"freshwater","Finfish",7.031297,NA,3.76,0.379,3.5,0.7,1934
"138","Clarias gariepinus","Miscellaneous freshwater fishes",33.99796,170,3.2,NA,NA,NA,NA,NA,NA,NA,NA,0.00692,3,"freshwater","Finfish",7.031297,NA,3.76,0.379,3.5,0.7,1934
"139","Clarias gariepinus","Miscellaneous freshwater fishes",33.99796,170,3.2,NA,NA,NA,NA,NA,NA,NA,129,0.00692,3,"freshwater","Finfish",6.524379,NA,3.76,0.379,3.5,0.7,1934
"140","Clarias gariepinus","Miscellaneous freshwater fishes",33.99796,170,3.2,832,NA,NA,3,8,NA,NA,129,0.00692,3,"freshwater","Finfish",11.066667,NA,3.76,0.379,3.5,0.7,1934
"141","Clarias macrocephalus","Miscellaneous freshwater fishes",14.0668634555186,120,3.2,NA,NA,NA,NA,NA,NA,NA,94,0.00776,3.01,"freshwater","Finfish",15.484682,NA,NA,NA,3.7,0.58,4805
"142","Clarias macrocephalus","Miscellaneous freshwater fishes",14.0668634555186,120,3.2,NA,0.025603087,0.048670405,NA,NA,NA,1.03,NA,0.00776,3.01,"freshwater","Finfish",15.116386,NA,NA,NA,3.7,0.58,4805
"143","Clarias macrocephalus","Miscellaneous freshwater fishes",14.0668634555186,120,3.2,NA,0.030511027,0.057750094,NA,NA,NA,1.03,NA,0.00776,3.01,"freshwater","Finfish",15.072255,NA,NA,NA,3.7,0.58,4805
"144","Clarias macrocephalus","Miscellaneous freshwater fishes",14.0668634555186,120,3.2,NA,0.021431338,0.053660144,NA,NA,NA,1.03,NA,0.00776,3.01,"freshwater","Finfish",14.761942,NA,NA,NA,3.7,0.58,4805
"145","Clupea harengus","Herrings, sardines, anchovies",0.435471134119826,40,3.23,NA,NA,NA,NA,NA,NA,NA,NA,0.0049,3.088999987,"marine","Finfish",60.657778,NA,3.38,0.128,3.28999996185303,0.51,24
"146","Clupea harengus","Herrings, sardines, anchovies",0.435471134119826,40,3.23,NA,NA,NA,NA,NA,NA,NA,NA,0.0049,3.088999987,"marine","Finfish",60.657778,NA,3.38,0.128,3.28999996185303,0.51,24
"147","Clupea harengus","Herrings, sardines, anchovies",0.712083110344584,45,3.4,NA,0.205817752,0.679594407,NA,NA,NA,NA,103,0.00646,3.05,"marine","Finfish",55.028022,NA,3.38,0.128,3.28999996185303,0.51,24
"148","Clupea harengus","Herrings, sardines, anchovies",0.712083110344584,45,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0.00646,3.05,"marine","Finfish",61.92411,NA,3.38,0.128,3.28999996185303,0.51,24
"149","Clupea harengus","Herrings, sardines, anchovies",0.712083110344584,45,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0.00646,3.05,"marine","Finfish",61.92411,NA,3.38,0.128,3.28999996185303,0.51,24
"150","Clupea harengus","Herrings, sardines, anchovies",0.712083110344584,45,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0.00646,3.05,"marine","Finfish",61.92411,NA,3.38,0.128,3.28999996185303,0.51,24
"151","Clupea harengus","Herrings, sardines, anchovies",0.712083110344584,45,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0.00646,3.05,"marine","Finfish",61.92411,NA,3.38,0.128,3.28999996185303,0.51,24
