number_of_targets,number_of_species,threshold
0.9,1.0,41
1.52,2.0,41
2.0,3.0,41
2.54,4.0,41
2.77,5.0,41
3.0,6.0,41
3.22,7.0,41
3.36,8.0,41
3.61,9.0,41
3.88,10.0,41
3.95,11.0,41
4.01,12.0,41
4.12,13.0,41
4.21,14.0,41
4.29,15.0,41
4.35,16.0,41
4.43,17.0,41
4.47,18.0,41
4.53,19.0,41
4.58,20.0,41
4.6,21.0,41
4.64,22.0,41
4.69,23.0,41
4.74,24.0,41
4.77,25.0,41
4.8,26.0,41
4.82,27.0,41
4.82,28.0,41
4.85,29.0,41
4.86,30.0,41
4.86,31.0,41
4.88,32.0,41
4.9,33.0,41
4.91,34.0,41
4.95,35.0,41
4.96,36.0,41
4.96,37.0,41
4.97,38.0,41
4.97,39.0,41
4.97,40.0,41
4.98,41.0,41
4.99,42.0,41
4.99,43.0,41
4.99,44.0,41
4.99,45.0,41
4.99,46.0,41
4.99,47.0,41
4.99,48.0,41
5.0,49.0,41
5.0,50.0,41
5.0,51.0,41
5.0,52.0,41
5.0,53.0,41
5.0,54.0,41
5.0,55.0,41
5.0,56.0,41
5.0,57.0,41
5.0,58.0,41
5.0,59.0,41
5.0,60.0,41
5.0,61.0,41
5.0,62.0,41
5.0,63.0,41
5.0,64.0,41
5.0,65.0,41
5.0,66.0,41
5.0,67.0,41
5.0,68.0,41
5.0,69.0,41
5.0,70.0,41
5.0,71.0,41
5.0,72.0,41
5.0,73.0,41
5.0,74.0,41
5.0,75.0,41
5.0,76.0,41
5.0,77.0,41
5.0,78.0,41
5.0,79.0,41
5.0,80.0,41
5.0,81.0,41
5.0,82.0,41
5.0,83.0,41
5.0,84.0,41
5.0,85.0,41
5.0,86.0,41
5.0,87.0,41
5.0,88.0,41
5.0,89.0,41
5.0,90.0,41
5.0,91.0,41
5.0,92.0,41
5.0,93.0,41
5.0,94.0,41
5.0,95.0,41
5.0,96.0,41
5.0,97.0,41
5.0,98.0,41
5.0,99.0,41
5.0,100.0,41
5.0,101.0,41
5.0,102.0,41
5.0,103.0,41
5.0,104.0,41
5.0,105.0,41
5.0,106.0,41
5.0,107.0,41
5.0,108.0,41
