number_of_targets,number_of_species,threshold
0.82,1.0,35
1.57,2.0,35
2.19,3.0,35
2.58,4.0,35
2.95,5.0,35
3.3,6.0,35
3.63,7.0,35
3.9,8.0,35
4.02,9.0,35
4.22,10.0,35
4.34,11.0,35
4.43,12.0,35
4.49,13.0,35
4.58,14.0,35
4.61,15.0,35
4.64,16.0,35
4.66,17.0,35
4.72,18.0,35
4.79,19.0,35
4.83,20.0,35
4.87,21.0,35
4.92,22.0,35
4.92,23.0,35
4.92,24.0,35
4.93,25.0,35
4.94,26.0,35
4.96,27.0,35
4.97,28.0,35
4.99,29.0,35
4.99,30.0,35
4.99,31.0,35
5.0,32.0,35
5.0,33.0,35
5.0,34.0,35
5.0,35.0,35
5.0,36.0,35
5.0,37.0,35
5.0,38.0,35
5.0,39.0,35
5.0,40.0,35
5.0,41.0,35
5.0,42.0,35
5.0,43.0,35
5.0,44.0,35
5.0,45.0,35
5.0,46.0,35
5.0,47.0,35
5.0,48.0,35
5.0,49.0,35
5.0,50.0,35
5.0,51.0,35
5.0,52.0,35
5.0,53.0,35
5.0,54.0,35
5.0,55.0,35
5.0,56.0,35
5.0,57.0,35
5.0,58.0,35
5.0,59.0,35
5.0,60.0,35
5.0,61.0,35
5.0,62.0,35
5.0,63.0,35
5.0,64.0,35
5.0,65.0,35
5.0,66.0,35
5.0,67.0,35
5.0,68.0,35
5.0,69.0,35
5.0,70.0,35
5.0,71.0,35
5.0,72.0,35
5.0,73.0,35
5.0,74.0,35
5.0,75.0,35
5.0,76.0,35
5.0,77.0,35
5.0,78.0,35
5.0,79.0,35
5.0,80.0,35
5.0,81.0,35
5.0,82.0,35
5.0,83.0,35
5.0,84.0,35
5.0,85.0,35
5.0,86.0,35
5.0,87.0,35
5.0,88.0,35
5.0,89.0,35
5.0,90.0,35
5.0,91.0,35
5.0,92.0,35
5.0,93.0,35
5.0,94.0,35
5.0,95.0,35
5.0,96.0,35
5.0,97.0,35
5.0,98.0,35
5.0,99.0,35
5.0,100.0,35
5.0,101.0,35
5.0,102.0,35
5.0,103.0,35
5.0,104.0,35
5.0,105.0,35
5.0,106.0,35
5.0,107.0,35
5.0,108.0,35
