species1,latin_name,pageid,level_1,level_2,common_name,latin_name1,part,preparation,reference,nutrient,concentration,AgeMatMin,feeding_level,feeding_mode,bulk_trophic_level,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,log_concentration,log_length,realm
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,88,mg_mg,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5553480614894135,NA,NA
Alosa pseudoharengus,Alosa pseudoharengus,6453,Fish,Searun Fish,Alewife,Alosa pseudoharengus,muscle,raw,27,protein_g,17.3,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,2.8507065015037334,3.6888794541139363,freshbrackmarine
Alosa pseudoharengus,Alosa pseudoharengus,6453,Fish,Searun Fish,Alewife,Alosa pseudoharengus,whole,raw,27,protein_g,14,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,2.6390573296152584,3.6888794541139363,freshbrackmarine
Alosa pseudoharengus,Alosa pseudoharengus,6453,Fish,Searun Fish,Alewife,Alosa pseudoharengus,offal,raw,27,protein_g,15.6,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,2.747270914255491,3.6888794541139363,freshbrackmarine
Alosa pseudoharengus,Alosa pseudoharengus,6453,Fish,Searun Fish,Alewife,Alosa pseudoharengus,eggs,raw,27,protein_g,16,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,2.772588722239781,3.6888794541139363,freshbrackmarine
Alosa pseudoharengus,Alosa pseudoharengus,6453,Fish,Searun Fish,Alewife,Alosa pseudoharengus,muscle,raw,55,fat_g,3.49,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,1.2499017362143359,3.6888794541139363,freshbrackmarine
Alosa pseudoharengus,Alosa pseudoharengus,6453,Fish,Searun Fish,Alewife,Alosa pseudoharengus,muscle,raw,27,fat_g,6.8,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,1.916922612182061,3.6888794541139363,freshbrackmarine
Alosa pseudoharengus,Alosa pseudoharengus,6453,Fish,Searun Fish,Alewife,Alosa pseudoharengus,whole,raw,27,fat_g,11.6,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,2.451005098112319,3.6888794541139363,freshbrackmarine
Alosa pseudoharengus,Alosa pseudoharengus,6453,Fish,Searun Fish,Alewife,Alosa pseudoharengus,offal,raw,27,fat_g,10.1,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,2.3125354238472138,3.6888794541139363,freshbrackmarine
Alosa pseudoharengus,Alosa pseudoharengus,6453,Fish,Searun Fish,Alewife,Alosa pseudoharengus,eggs,raw,27,fat_g,7.9,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,2.066862759472976,3.6888794541139363,freshbrackmarine
Alosa pseudoharengus,Alosa pseudoharengus,6453,Fish,Searun Fish,Alewife,Alosa pseudoharengus,muscle,raw,55,fapun3,0.51,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,-0.6733445532637656,3.6888794541139363,freshbrackmarine
Alosa pseudoharengus,Alosa pseudoharengus,6453,Fish,Searun Fish,Alewife,Alosa pseudoharengus,muscle,raw,55,fapun_all_g,0.47,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,-0.7550225842780328,3.6888794541139363,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,62,ca_mg,47,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,3.8501476017100584,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,63,ca_mg,47,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,3.8501476017100584,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,79,ca_mg,47,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,3.8501476017100584,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,62,zn_mg,0.37,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,-0.9942522733438669,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,63,zn_mg,0.37,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,-0.9942522733438669,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,79,zn_mg,0.3,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,-1.2039728043259361,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,62,fe_mg,0.97,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,-0.030459207484708574,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,63,fe_mg,0.97,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,-0.030459207484708574,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,27,fe_mg,0.7,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,-0.35667494393873245,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,79,fe_mg,0.8,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,-0.2231435513142097,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,62,protein_g,16.9,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,2.8273136219290276,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,63,protein_g,16.9,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,2.8273136219290276,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,27,protein_g,18,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,2.8903717578961645,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,offal,raw,27,protein_g,16.7,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,2.8154087194227095,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,79,protein_g,17.4,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,2.856470206220483,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,62,fat_g,13.8,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,2.624668592163159,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,63,fat_g,13.8,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,2.624668592163159,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,27,fat_g,11.2,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,2.4159137783010487,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,offal,raw,27,fat_g,16.3,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,2.791165107812717,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,79,fat_g,12.5,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,2.5257286443082556,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,62,fapun_all_g,3.18,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,1.1568811967920856,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,63,fapun_all_g,3.27,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,1.184789984909162,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,62,mn_mg,0.042,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,-3.170085660698769,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,63,mn_mg,0.042,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,-3.170085660698769,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,62,mg_mg,30,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,3.4011973816621555,4.330733340286331,freshbrackmarine
Alosa sapidissima,Alosa sapidissima,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,63,mg_mg,30,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,3.4011973816621555,4.330733340286331,freshbrackmarine
Aloseinae,Aloseinae,6431,Fish,Saltwater Fish,Shad,Aloseinae,muscle,raw,27,fe_mg,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5621189181535413,NA,NA
Aloseinae,Aloseinae,6431,Fish,Saltwater Fish,Shad,Aloseinae,muscle,raw,27,protein_g,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9652730660692823,NA,NA
Aloseinae,Aloseinae,6431,Fish,Saltwater Fish,Shad,Aloseinae,eggs,raw,27,protein_g,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.152736022363656,NA,NA
Aloseinae,Aloseinae,6431,Fish,Saltwater Fish,Shad,Aloseinae,muscle,raw,27,fat_g,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1162555148025524,NA,NA
Aloseinae,Aloseinae,6431,Fish,Saltwater Fish,Shad,Aloseinae,eggs,raw,27,fat_g,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33500106673234,NA,NA
Aloseinae,Aloseinae,6431,Fish,Saltwater Fish,Shad,Aloseinae,muscle,raw,27,mn_mg,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9633162998156966,NA,NA
Ameiurus nebulosus,Ameiurus nebulosus,6410,Fish,Freshwater Fish,Brown Bullhead,Ameiurus nebulosus,muscle,raw,44,ca_mg,12,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,subtropical,fusiform / normal,demersal,40,55,2.4849066497880004,4.007333185232471,fresh
Ameiurus nebulosus,Ameiurus nebulosus,6410,Fish,Freshwater Fish,Brown Bullhead,Ameiurus nebulosus,muscle,raw,44,zn_mg,0.403,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,subtropical,fusiform / normal,demersal,40,55,-0.908818717035454,4.007333185232471,fresh
Ameiurus nebulosus,Ameiurus nebulosus,6410,Fish,Freshwater Fish,Brown Bullhead,Ameiurus nebulosus,muscle,raw,44,fe_mg,0.653,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,subtropical,fusiform / normal,demersal,40,55,-0.42617814970570594,4.007333185232471,fresh
Ameiurus nebulosus,Ameiurus nebulosus,6410,Fish,Freshwater Fish,Brown Bullhead,Ameiurus nebulosus,muscle,raw,44,protein_g,15.8,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,subtropical,fusiform / normal,demersal,40,55,2.760009940032921,4.007333185232471,fresh
Ameiurus nebulosus,Ameiurus nebulosus,6410,Fish,Freshwater Fish,Brown Bullhead,Ameiurus nebulosus,muscle,raw,56,protein_g,18.6,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,subtropical,fusiform / normal,demersal,40,55,2.9231615807191558,4.007333185232471,fresh
Ameiurus nebulosus,Ameiurus nebulosus,6410,Fish,Freshwater Fish,Brown Bullhead,Ameiurus nebulosus,muscle,raw,44,fat_g,1.49,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,subtropical,fusiform / normal,demersal,40,55,0.3987761199573678,4.007333185232471,fresh
Ameiurus nebulosus,Ameiurus nebulosus,6410,Fish,Freshwater Fish,Brown Bullhead,Ameiurus nebulosus,muscle,raw,56,fat_g,2.7,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,subtropical,fusiform / normal,demersal,40,55,0.9932517730102834,4.007333185232471,fresh
Ameiurus nebulosus,Ameiurus nebulosus,6410,Fish,Freshwater Fish,Brown Bullhead,Ameiurus nebulosus,muscle,raw,44,mn_mg,0.041,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,subtropical,fusiform / normal,demersal,40,55,-3.1941832122778293,4.007333185232471,fresh
Amia calva,Amia calva,6416,Fish,Freshwater Fish,Bowfin,Amia calva,muscle,raw,27,protein_g,20.1,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,subtropical,elongated,demersal,NA,109,3.0007198150650303,4.6913478822291435,fresh
Amia calva,Amia calva,6416,Fish,Freshwater Fish,Bowfin,Amia calva,whole,raw,27,protein_g,15.5,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,subtropical,elongated,demersal,NA,109,2.740840023925201,4.6913478822291435,fresh
Amia calva,Amia calva,6416,Fish,Freshwater Fish,Bowfin,Amia calva,muscle,raw,27,fat_g,1.4,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,subtropical,elongated,demersal,NA,109,0.3364722366212129,4.6913478822291435,fresh
Amia calva,Amia calva,6416,Fish,Freshwater Fish,Bowfin,Amia calva,whole,raw,27,fat_g,1.5,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,subtropical,elongated,demersal,NA,109,0.4054651081081644,4.6913478822291435,fresh
Anarhichadidae,Anarhichadidae,6443,Fish,Saltwater Fish,Wolf-eel and Relatives,Anarhichadidae,muscle,raw,63,ca_mg,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0794415416798357,NA,NA
Anarhichadidae,Anarhichadidae,6443,Fish,Saltwater Fish,Wolf-eel and Relatives,Anarhichadidae,muscle,raw,27,ca_mg,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.791759469228055,NA,NA
Anarhichadidae,Anarhichadidae,6443,Fish,Saltwater Fish,Wolf-eel and Relatives,Anarhichadidae,muscle,raw,63,zn_mg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Anarhichadidae,Anarhichadidae,6443,Fish,Saltwater Fish,Wolf-eel and Relatives,Anarhichadidae,muscle,raw,63,fe_mg,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.120263536200091,NA,NA
Anarhichadidae,Anarhichadidae,6443,Fish,Saltwater Fish,Wolf-eel and Relatives,Anarhichadidae,muscle,raw,63,protein_g,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.109060958860994,NA,NA
Anarhichadidae,Anarhichadidae,6443,Fish,Saltwater Fish,Wolf-eel and Relatives,Anarhichadidae,muscle,raw,27,protein_g,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8678989020441064,NA,NA
Anarhichadidae,Anarhichadidae,6443,Fish,Saltwater Fish,Wolf-eel and Relatives,Anarhichadidae,muscle,raw,63,fat_g,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1184149159642893,NA,NA
Anarhichadidae,Anarhichadidae,6443,Fish,Saltwater Fish,Wolf-eel and Relatives,Anarhichadidae,muscle,raw,55,fat_g,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.527632742082372,NA,NA
