biblioid2,seanuts_id2,food_item_id_2,food_name_clean,database,nutrient_ref,species_name,genus_species,subgroup,prot_g,protcnt_g,protein_g,fat_g,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,tl,length_from_study,length_source,abs_lat,latitude,slmax,slmax_nov28,slmax_source,lwa,lwb,country_region,isscaap_cat,isscaap,season,asfis_scientific_name_fishbase_swap_in_progress,season.x,season.y,Herbivory2,HerbivoryRef,FeedingType,FeedingTypeRef,FoodTroph,FoodSeTroph,StockCode,SpecCode.x,SpecCode.y,Genus,Species,FBname,Subfamily,DemersPelag,AnaCat,DepthRangeShallow,DepthRangeDeep,LTypeMaxM,LTypeMaxF,LTypeComM,LTypeComF,Length,CommonLength,CommonLengthF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Sp2000_HierarchyCode
fi151,1,NA,NA,NA,NA,Oncorhynchus kisutch,Oncorhynchus kisutch,Finfish,NA,20.15,NA,12.2,NA,NA,0.41,NA,41206.0,NA,40945.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhynchus kisutch,NA,NA,mainly animals (troph. 2.8 and up),1998,hunting macrofauna (predator),1998,4.18,0.7,259,245,245,Oncorhynchus,kisutch,Coho salmon,Salmoninae,demersal,anadromous,0,250,TL,NA,TL,NA,107.95,71.0,59.5,593,15170.0,NA,40637,NA
fi184,3,901079,cleaned_fish_raw,NA,NA,Channa marulius,Channa marulius,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,1306.45,1.321593,1.35,4.5,NA,NA,12.265754,12.265754,183.0,NA,http://www.fishbase.se/summary/5144,0.00912,2.93,NA,Miscellaneous freshwater fishes,NA,"Oct, Nov 2001",NA,NA,NA,mainly animals (troph. 2.8 and up),1479,hunting macrofauna (predator),NA,4.5,0.8,5382,5144,5144,Channa,marulius,Great snakehead,NA,benthopelagic,potamodromous,NA,NA,TL,NA,TL,NA,183.0,46.0,NA,4833,3e4,NA,4833,NA
fi184,3,901079,cleaned_fish_raw,NA,NA,Channa marulius,Channa marulius,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,1306.45,1.321593,1.35,4.5,NA,NA,12.265754,12.265754,183.0,NA,http://www.fishbase.se/summary/5144,0.00912,2.93,NA,Miscellaneous freshwater fishes,NA,"Oct, Nov 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,70344,5144,5144,Channa,marulius,Great snakehead,NA,benthopelagic,potamodromous,NA,NA,TL,NA,TL,NA,183.0,46.0,NA,4833,3e4,NA,4833,NA
fi184,4,901091,cleaned_fish_raw,NA,NA,Parambassis wolffii,Parambassis wolffii,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,1252.61,1.809024,1.53,3.7,NA,NA,12.265754,12.265754,20.0,NA,http://www.fishbase.org/summary/16235,0.01995,3.01,NA,Miscellaneous coastal fishes,NA,"Oct, Nov 2001",NA,NA,NA,mainly animals (troph. 2.8 and up),33813,hunting macrofauna (predator),NA,3.72,0.58,15000,16235,16235,Parambassis,wolffii,Duskyfin glassy perchlet,NA,demersal,NA,NA,NA,SL,NA,SL,NA,20.0,9.4,NA,10429,NA,NA,NA,NA
fi184,5,901086,Kissing_gourami_cleaned_fish_raw,NA,NA,Helostoma temminkii,Helostoma temminkii,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,1225.15,1.82922,1.5,2.8,NA,NA,12.265754,12.265754,30.0,NA,http://fishbase.sinica.edu.tw/summary/SpeciesSummary.php?id=500,0.01,3.04,NA,Miscellaneous freshwater fishes,NA,"Oct, Nov 2001",NA,NA,NA,plants/detritus+animals (troph. 2.2-2.79),12693,NA,NA,2.8199999332428,0.326,516,500,500,Helostoma,temminkii,Kissing gourami,NA,benthopelagic,potamodromous,2,NA,TL,NA,NA,NA,30.0,NA,NA,NA,NA,NA,NA,NA
fi103,6,900603,Small_apple_snail_wild_shelled_raw,NA,NA,Cipangopaludina chinensis,NA NA,Molluscs,NA,13.0,NA,0.4,0.01002744,0.044789232,0.00334248,0.003676728,1200.0,8.1,4.3,NA,NA,NA,14.903036,14.903036,6.5,NA,http://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=1045,NA,NA,NA,"Abalones, winkles, conchs",NA,dry season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi184,7,901083,cleaned_fish_raw,NA,NA,Dermogenys pusilla juv.,NA NA,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,1174.0,3.1698,5.12,3.4,NA,NA,12.265754,12.265754,7.0,NA,http://www.fishbase.org/summary/11300,0.01,3.04,NA,Miscellaneous pelagic fishes,NA,"Oct, Nov 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi184,8,901081,Beardless_barb_cleaned_fish_raw,NA,NA,Cyclocheilichthys apogon,Cyclocheilichthys apogon,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,1130.22,2.02878,0.68,2.8,NA,NA,12.265754,12.265754,25.0,NA,NA,NA,NA,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,plants/detritus+animals (troph. 2.2-2.79),13497,NA,NA,3.1,0.3,10636,10313,10313,Cyclocheilichthys,apogon,Beardless barb,No subfamily,benthopelagic,NA,NA,NA,TL,NA,NA,NA,25.0,NA,NA,NA,NA,NA,NA,NA
fi184,9,901087,Nilem_carp_cleaned_fish_raw,NA,NA,Osteochilus hasselti,NA NA,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,1103.31,1.8122,1.11,2.6,NA,NA,12.265754,12.265754,32.0,NA,http://www.fishbase.us/summary/Osteochilus-vittatus.html,0.01122,3.09,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fi184,10,901080,Indonesian_snakehead_cleaned_fish_raw,NA,NA,Channa micropeltes,Channa micropeltes,Finfish,NA,NA,NA,NA,NA,NA,NA,NA,1085.84,1.440597,1.23,3.9,NA,NA,12.265754,12.265754,130.0,NA,NA,NA,NA,NA,Miscellaneous freshwater fishes,NA,"Oct, Nov 2001",NA,NA,NA,mainly animals (troph. 2.8 and up),12693,hunting macrofauna (predator),12975,3.85,0.55,358,344,344,Channa,micropeltes,Indonesian snakehead,NA,benthopelagic,potamodromous,100,NA,SL,NA,SL,NA,130.0,50.0,NA,57235,2e4,NA,4835,NA
